OBJECTID_1,ProjectID,ProjName,dtmBoardAp,Type,Function_,Program,PrimPurp,PrimGrante,County,WCBFunding,TotalCost,TotalAcres,Comment,OBJECTID,Shape_Leng,Shape__Area,Shape__Length,GlobalID
78,2008128,Upper Newport Bay Ecosystem Restoration,2008/11/20 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Marine Habitat,County of Orange,Orange,2000000,46270000,1000,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),78,10980.4023659,3395068.0859375,13212.5902508497,21d31626-40d0-4403-aab9-776a918723bf
79,2008117,"Cow Creek Conservation Area, Expansion 1",2008/08/28 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Wildlife Corridor/Habitat Link,Shasta Land Trust,Shasta,1731503,1905000,4915, ,79,27405.6657197,36127883.328125,36115.178217597,55ef0f9d-e52f-4ee0-b6ec-1856773c2035
80,2008129,Sisquoc River Steelhead Barrier Removal,2008/08/28 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Salmonid/Steelhead Habitat,County of Santa Barbara,Santa Barbara,500000,9829992,1,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),80,1502.20364427,241220.44921875,1832.56991869864,8c11cebb-d74a-4120-b902-8df059091cdf
81,2007165,Bear Creek Watershed Habitat Restoration,2008/02/20 00:00:00+00,Development,Restoration/Enhancement,California Riparian Habitat Conservation Program,Riparian Habitat,Bureau of Land Management,Colusa,475000,1081500,483,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),81,32842.0355462,70828315.7851563,42277.3669406945,ebf025a8-e7bc-4ae1-ad03-0c4e0fad280d
82,2006134,Canada de los Osos Ecological Reserve Riparian Habitat Restoration,2008/02/20 00:00:00+00,Development,Restoration/Enhancement,California Riparian Habitat Conservation Program,Riparian Habitat,California Deer Association,Santa Clara,127200,169500,45,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),82,26881.438626,25700581.4140625,33706.2912086971,650d37c3-fc7a-4600-94a8-caeb844d678d
83,2007120,"Canebrake Ecological Reserve, Cap Canyon Unit, Expansion 2",2008/02/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,California Department of Fish and Wildlife,Kern,100000,100000,40, ,83,1611.40865364,246557.31640625,1986.30499319618,e5ceb946-2217-4397-9af7-8c1db5ea1339
84,2008006,"DFG Minor Capital Outlay Wetland Projects, Gray Lodge Wildlife Area",2008/02/20 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,California Department of Fish and Wildlife,Butte,270176,270176,640,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),84,36684.4497559,62391866.5429688,47444.5378552851,ce008189-2b98-41ea-ba5e-b2f2860bc0c0
85,2008008,"DFG Minor Capital Outlay Wetland Projects, Shasta Valley Wildlife Area",2008/02/20 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Interior Wetlands,California Department of Fish and Wildlife,Siskiyou,200000,200000,70,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),85,27987.9940795,34296576.4882813,37503.1153780702,e35841a0-bfb2-4bb0-b0eb-5db2f71c4a89
86,2008007,"DFG Minor Capital Outlay Wetland Projects, Volta Wildlife Area",2008/02/20 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,California Department of Fish and Wildlife,Merced,120000,120000,2500,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),86,19879.5950139,23672839.7070313,24960.5956749991,683c394c-396e-4055-9a30-f69f96c034af
87,2006173,"Elkhorn Slough Ecological Reserve, Expansion 17",2008/02/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,California Department of Fish and Wildlife,Monterey,3483377,4765000,204, ,87,3959.01456813,1380413.640625,4950.43040275626,726b04f5-5122-4524-a808-ee325e5471f0
88,2007073,Fields Landing Public Access Improvements,2008/02/20 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Humboldt,Humboldt,574000,581000,1.5,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),88,165.199552982,2772.53515625,217.988547190169,12851d74-2235-4a59-8ef2-367d29d70bb3
89,2005083,Fieldstone Habitat Conservation Plan,2008/02/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,N/A,San Diego,10000,2410000,18, ,89,1378.05405391,100049.609375,1646.36664721891,a079b065-2fa3-472f-b348-4549aff19eb0
90,2007147,"Montgomery Woods, Expansion 1",2008/02/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Forest Habitat,Save-the-Redwoods League,Mendocino,255000,505000,162, ,90,3991.51301778,1062616.43359375,5156.94577206977,93c2c465-64b0-4e7a-88f4-c50186e9bf6b
91,2003259,"San Joaquin River Riparian Habitat, Expansion 14",2008/02/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Riparian Habitat,N/A,Fresno,6435500,6435500,325, ,91,4863.85205461,2025522.3828125,6086.42273314433,0d38a504-b506-473f-b6b0-6dec02ca8f81
92,2005193,Santa Cruz Sandhills,2008/02/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Land Trust of Santa Cruz County,Santa Cruz,1510000,4410000,100, ,92,3955.71414837,1262582.70703125,4961.88534758001,4dab7e6e-4dec-4fa5-af07-db42ce49a576
93,2007157,"Santa Monica Bay,  Rancho Corral Canyon",2008/02/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,Santa Monica Mountains Conservancy,Los Angeles,2010000,2010000,148, ,93,3799.0041214,620001.03125,4593.81318286209,e5016336-f735-46b5-a8a2-b2ed077c9492
94,2007080,Six Rivers (Valley View),2008/02/20 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Forest Habitat,N/A,Humboldt,10000,1410000,1500, ,94,13573.252278,10694063.1523438,17819.3181888155,d37eb3e6-a33c-4edd-b00f-db9db1332ec6
95,2007146,"South Fork American River, Lower Canyon Unit, Expansion 2",2008/02/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Oak Woodland/Oak Savannah Habitat,American River Conservancy,El Dorado,360000,910000,40, ,95,1732.12632532,253067.15234375,2223.44462572023,1bbdd878-d558-498c-a92b-1c997ac19f3f
96,2007145,"Upper Cosumnes River Basin, Expansion 2",2008/02/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Oak Woodland/Oak Savannah Habitat,American River Conservancy,El Dorado,1465000,2805000,320, ,96,4624.62274742,2026193.55859375,5923.59053169094,9c24ea07-47be-4b04-a890-855a333cdc83
97,2006171,"Wetland Conservation Easement Program, Bird Haven Ranch",2008/02/20 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Interior Wetlands,N/A,Glenn,440000,1063000,259, ,97,4675.27312829,1688093.31640625,6060.40718270481,0de83d45-c233-4cbc-8813-6bdd0d36f1f8
98,2007129,Woodbridge Ecological Reserve Crane Viewing Shelter,2008/02/20 00:00:00+00,Development,Public Access,Public Access Program,Wildlife Related Access,California Department of Fish and Wildlife,San Joaquin,170176,170176,204,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),98,4891.86036831,1334578.9375,6228.42712772838,a3da85f7-8b2b-48df-bf8e-c5739662961d
99,2007166,"Feather River Wildlife Area, Riparian Habitat Restoration, Nelson Slough Unit, Phase I",2008/02/20 00:00:00+00,Development,Restoration/Enhancement,California Riparian Habitat Conservation Program,Riparian Habitat,River Partners,Sutter,1311000,1415480,250,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),99,5025.48479268,2009333.48046875,6460.58438386137,8f68799a-6141-4fce-a48b-6f8fd74b9ab3
100,2007163,"San Joaquin Hatchery Public Access, Phase I, Preconstruction Planning and Design",2008/02/20 00:00:00+00,Development,"Other (Plan, Study, Etc.)",Public Access Program,Other,California Department of Fish and Wildlife,Fresno,187676,187676,62,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),100,2635.59786185,333945.62890625,3302.50529643509,82d008e9-892a-470f-ae53-8d2338cbae7a
101,1949001,Black Rock Hatchery (Rearing Ponds),1949/03/19 00:00:00+00,Acquisition,Infrastructure,Miscellaneous Projects Program,Fish Hatchery,California Department of Fish and Wildlife,Inyo,30000,29976.15,0, ,101,1795.02795069,277122.76953125,2247.66935095985,f2a7fac8-5908-4eac-81f8-de9d31274fd9
102,1949004,Crystal Lake Hatchery,1949/03/19 00:00:00+00,Development,Infrastructure,Miscellaneous Projects Program,Fish Hatchery,California Department of Fish and Wildlife,Shasta,140000,140000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),102,2006.86678912,267521.1796875,2656.68963312108,c8d43a68-a7eb-4380-93f1-48412eebd0ba
103,1949005,Darrah Springs Hatchery,1949/03/19 00:00:00+00,Acquisition,Fee Title,Miscellaneous Projects Program,Fish Hatchery,California Department of Fish and Wildlife,Shasta,231000,231000,83, ,103,2442.54347069,582006.31640625,3209.60611032381,9a9b7166-50d9-425d-8a70-328256cc936c
104,1949006,"Deer Creek, Fish Screens",1949/03/19 00:00:00+00,Development,Infrastructure,Habitat Enhancement and Restoration Program,Fish Screens/Barriers/Ladders,California Department of Fish and Wildlife,Tehama,15000,6722.81,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),104,180.753283954,3449.3359375,235.94071111186,d7565c82-e350-408f-b7ec-396c25741d38
105,1949042,Mojave River Hatchery,1949/12/13 00:00:00+00,Development,Infrastructure,Miscellaneous Projects Program,Fish Hatchery,California Department of Fish and Wildlife,San Bernardino,20000,20000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),105,1055.91945808,88185.50390625,1283.26689304482,eb82b3d1-fa50-4b33-9a04-5e91d04a7705
106,1950002,Dry Lake Level Maintenance,1950/01/26 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,U.S. Forest Service (USDA),San Bernardino,4500,4318.36,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),106,972.574880483,77428.44140625,1176.75159859271,e873fe28-307c-48c1-bd63-d6889cb04715
107,1950003,Fish Springs Hatchery,1950/01/26 00:00:00+00,Development,Infrastructure,Miscellaneous Projects Program,Fish Hatchery,California Department of Fish and Wildlife,Inyo,45000,45000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),107,2630.37347868,595460.70703125,3300.93292526974,166aa354-d6ac-4fb2-95dc-d651d93d82c3
108,1950004,Lindo Lake,1950/01/26 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of San Diego,San Diego,11000,11000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),108,1733.85551436,92069.90625,2067.55653246288,c7279d77-f7b5-4dfa-81ff-567abaeccaf5
109,1950005,Mojave River Hatchery,1950/01/26 00:00:00+00,Development,Infrastructure,Miscellaneous Projects Program,Fish Hatchery,California Department of Fish and Wildlife,San Bernardino,159000,159000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),109,1055.91945808,88185.50390625,1283.26689304482,83f83ed0-e069-46c1-a44d-6467020be31b
110,1950007,Darrah Springs Hatchery,1950/05/18 00:00:00+00,Development,Infrastructure,Miscellaneous Projects Program,Fish Hatchery,California Department of Fish and Wildlife,Shasta,120000,120000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),110,2442.54347069,582006.31640625,3209.60611032381,f0ba8168-5093-4bc5-967d-973de78bcc6b
111,1950008,Delta (F&G) Operation Base,1950/05/18 00:00:00+00,Development,Infrastructure,Miscellaneous Projects Program,DFG Facility,California Department of Fish and Wildlife,Contra Costa,27000,26551.32,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),111,159.626071125,2219.890625,202.815470891681,19c30f04-245b-44c4-906b-efa7d9e0276b
112,1950009,Mt. Shasta Hatchery,1950/05/18 00:00:00+00,Development,Infrastructure,Miscellaneous Projects Program,Fish Hatchery,California Department of Fish and Wildlife,Siskiyou,70000,70000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),112,1587.81941945,201184.6015625,2115.49091024937,a33b61b2-8412-4211-ab88-a7f8749b56bd
113,1950010,Ramer Lake,1950/05/18 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,California Department of Fish and Wildlife,Imperial,50000,50000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),113,24255.9080892,11353086.3476563,28995.1679846611,327f6afb-3900-4013-ae2e-b35316276ce8
114,1950013,Lower Butte Creek Waterfowl Management Area,1950/07/12 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Interior Wetlands,California Department of Fish and Wildlife,Butte,73625,73625,3734, ,114,33535.1182367,26864727.1953125,43379.2785415802,c42f2565-6cf5-4ab5-891d-0bcc986d6b0f
115,1950014,Black Rock Rearing Ponds,1950/10/14 00:00:00+00,Development,Infrastructure,Miscellaneous Projects Program,Fish Hatchery,California Department of Fish and Wildlife,Inyo,100,0,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),115,1795.02795069,277122.76953125,2247.66935095985,ff3ee8f5-0ea0-4e03-af3c-1f2076eac805
116,1949011,Fillmore Hatchery,1949/03/19 00:00:00+00,Development,Infrastructure,Miscellaneous Projects Program,Fish Hatchery,California Department of Fish and Wildlife,Ventura,20000,16493.08,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),116,1311.83211245,146243.8125,1590.89725375909,2ee9ea1d-3cf5-4cfd-9552-8ca8457cee47
117,1949012,Fish Springs Hatchery,1949/03/19 00:00:00+00,Development,Infrastructure,Miscellaneous Projects Program,Fish Hatchery,California Department of Fish and Wildlife,Inyo,135000,135000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),117,2630.37347868,595460.70703125,3300.93292526974,7a57f5a7-6f4e-4542-9d62-5599321cb825
118,1949013,Lower Butte Creek Waterfowl Area,1949/03/19 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Interior Wetlands,California Department of Fish and Wildlife,Butte,537036,537036,4169, ,118,33535.1182367,26864727.1953125,43379.2785415802,87ef6f43-4f83-4423-a121-9285d65a288b
